time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
559,466.28,-7953.76,114688,204,56,31756.021484375,0.01259765625,-0.7704901212826372,550,5.960464477539063e-08,-0.0034900167971500195,0.0022150963,0.0003,0.2,54546.50057373047
569,466.46,-7924.49,116736,204,57,40677.81640625,0.0171875,-0.8106396051123739,560,1.1920928955078125e-07,-0.003637319186236709,0.0025049243,0.0003,0.2,78017.91072998047
579,467.39,-7924.0,118784,205,58,33460.13671875,0.012353515625,-0.7850934930145741,570,5.960464477539063e-08,-0.0033414760982850567,0.0030783056,0.0003,0.2,63926.63364257813
588,467.68,-7896.51,120832,205,59,39445.375,0.003271484375,-0.7817527091130614,580,0.0,-0.0033517052375827915,0.0016223027,0.0003,0.2,81655.55283203124
599,468.13,-7899.06,122880,204,60,26783.1796875,0.018896484375,-0.7669797308743,590,5.960464477539063e-08,-0.006575057296140585,0.0033977483,0.0003,0.2,72541.31843261719
618,468.22,-7871.45,124928,202,61,35812.63671875,0.017529296875,-0.7931564735248685,600,1.1920928955078125e-07,-0.005442091113945935,0.0038354532,0.0003,0.2,66753.62387695312
635,468.08,-7857.79,126976,199,62,39802.71484375,0.010595703125,-0.778800075687468,610,1.1920928955078125e-07,-0.0036028022048412824,0.0029564654,0.0003,0.2,70514.80701904297
644,469.95,-7919.13,129024,200,63,43237.03125,0.0171875,-0.7727416014298797,620,0.0,-0.004415369057096541,0.003532368,0.0003,0.2,79982.25670166015
653,469.12,-7836.59,131072,200,64,32777.31640625,0.034375,-0.7507002502679825,630,1.1920928955078125e-07,-0.004617643025267171,0.004634844,0.0003,0.2,71590.8588256836
663,466.77,-7754.51,133120,200,65,30752.626953125,0.017138671875,-0.7630699094384908,640,1.7881393432617188e-07,-0.004652273157262243,0.002828362,0.0003,0.2,55226.24556274414
673,464.02,-7617.1,135168,200,66,32698.62890625,0.0208984375,-0.7526277620345354,650,4.172325134277344e-07,-0.005510302794573363,0.0029117446,0.0003,0.2,57238.202734375
682,464.71,-7625.45,137216,200,67,33658.76171875,0.017578125,-0.7488820167258382,660,0.0008252859115600586,-0.004702848722808994,0.002177645,0.0003,0.2,57140.55959472656
692,464.99,-7598.75,139264,201,68,39398.84765625,0.028662109375,-0.7317389588803053,670,0.1309734582901001,-0.006137475345167331,0.0048021493,0.0003,0.2,60577.816796875
704,464.49,-7544.18,141312,200,69,23590.306640625,0.010498046875,-0.7123137505725026,680,0.14823472499847412,-0.004220638144761324,0.003767188,0.0003,0.2,56270.17108154297
714,463.48,-7481.68,143360,200,70,25457.658203125,0.01455078125,-0.6933096908032894,690,0.23270225524902344,-0.003715640048903879,0.003922409,0.0003,0.2,52618.593762207034
729,464.98,-7508.14,145408,199,71,24068.265625,0.016064453125,-0.6677460632286966,700,0.2479751706123352,-0.004202045493002515,0.0044127256,0.0003,0.2,51511.746154785156
739,466.98,-7533.17,147456,199,72,34764.78125,0.00537109375,-0.6826042069122196,710,0.27310967445373535,-0.003696706547634676,0.002081359,0.0003,0.2,69746.55047607422
749,467.1,-7497.27,149504,199,73,30049.130859375,0.00654296875,-0.6723051920533181,720,0.23367393016815186,-0.0037170321294979656,0.0030653353,0.0003,0.2,57501.90080566406
761,465.58,-7390.64,151552,198,74,27005.7578125,0.006396484375,-0.6829055755399167,730,0.2517358064651489,-0.003389562993834261,0.0025876276,0.0003,0.2,57331.406958007814
773,465.36,-7367.1,153600,198,75,28530.40625,0.0099609375,-0.6679017612710595,740,0.3083319067955017,-0.00302424894325668,0.0027930688,0.0003,0.2,55599.52645263672
783,465.4,-7344.33,155648,198,76,23397.775390625,0.018017578125,-0.6837942815385759,750,0.2653167247772217,-0.0036650448688305914,0.0035580222,0.0003,0.2,53271.55454101563
793,464.73,-7301.39,157696,198,77,29543.607421875,0.015966796875,-0.7217312524095177,760,0.24315255880355835,-0.003762499824370025,0.0024289454,0.0003,0.2,65302.48676757813
806,465.95,-7327.6,159744,198,78,31231.515625,0.029736328125,-0.7050980519503355,770,0.28841066360473633,-0.005210946872830391,0.0036976216,0.0003,0.2,52754.984594726564
830,465.61,-7306.86,161792,194,79,28950.873046875,0.008203125,-0.7001513841561973,780,0.27618885040283203,-0.0036321880586910995,0.0023372904,0.0003,0.2,53662.45021972656
845,465.25,-7281.24,163840,193,80,17917.046875,0.01943359375,-0.7194017764180899,790,0.30801504850387573,-0.0038151057713548655,0.004463904,0.0003,0.2,58844.20816650391
861,463.19,-7214.07,165888,192,81,28167.408203125,0.028173828125,-0.7297091985121369,800,0.25689345598220825,-0.0053879939056059815,0.0045813434,0.0003,0.2,52681.55600585938
873,462.56,-7187.33,167936,192,82,27817.91796875,0.02392578125,-0.6631407443434,810,0.32568997144699097,-0.004511804426147137,0.0045291698,0.0003,0.2,51581.16373291016
884,460.97,-7123.06,169984,192,83,31085.662109375,0.0150390625,-0.6642835208214819,820,0.2897355556488037,-0.005191763266338967,0.002674866,0.0003,0.2,51144.10952758789
897,460.44,-7090.3,172032,191,84,26125.154296875,0.0078125,-0.6403542096726597,830,0.3103902339935303,-0.0030231519689550624,0.0025251592,0.0003,0.2,49543.022650146486
909,458.62,-7024.12,174080,191,85,33150.98828125,0.01669921875,-0.626271229609847,840,0.2992032766342163,-0.0053245250470354225,0.0033563983,0.0003,0.2,57442.85850830078
919,456.09,-6965.61,176128,191,86,23067.591796875,0.00478515625,-0.6065552486106753,850,0.3307799696922302,-0.0024804738000966608,0.0023610513,0.0003,0.2,49316.21587524414
930,456.09,-6959.8,178176,191,87,26965.33984375,0.00791015625,-0.556176720187068,860,0.3188881278038025,-0.001954725659743417,0.0025997949,0.0003,0.2,54548.73916015625
939,455.9,-6951.49,180224,191,88,22178.884765625,0.008837890625,-0.5302698021754623,870,0.33841586112976074,-0.00357046860808623,0.0024116817,0.0003,0.2,53732.56990966797
952,452.98,-6862.82,182272,191,89,23383.025390625,0.0169921875,-0.5617984081618488,880,0.35084283351898193,-0.0027741506113670767,0.0034905626,0.0003,0.2,47782.28348999024
964,448.84,-6771.37,184320,191,90,18983.17578125,0.006201171875,-0.5570462088100612,890,0.3452618718147278,-0.0027026949508581312,0.001648874,0.0003,0.2,40415.60837402344
981,446.89,-6745.62,186368,189,91,20077.533203125,0.004052734375,-0.5515234063379466,900,0.3951385021209717,-0.0017676051968010143,0.0013876079,0.0003,0.2,45683.86849975586
999,441.03,-6594.77,188416,188,92,22915.310546875,0.004052734375,-0.5358364303596318,910,0.3390050530433655,-0.0022799687561928295,0.0020630276,0.0003,0.2,45949.232025146484
1013,434.43,-6419.26,190464,187,93,10057.466796875,0.017919921875,-0.5163899238221348,920,0.4308841824531555,-0.00432645550754387,0.0024500047,0.0003,0.2,25793.398663330077
1028,428.42,-6259.91,192512,187,94,20505.6953125,0.002099609375,-0.49459529109299183,930,0.3472992777824402,-0.0020587207523931283,0.001006565,0.0003,0.2,35094.07139892578
1047,424.22,-6166.12,194560,185,95,15464.501953125,0.016259765625,-0.46135196117684246,940,0.36667364835739136,-0.00285465666820528,0.0026820765,0.0003,0.2,36239.66545410156
