rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction
-328.29459459459457,108.45945945945945,4096,147,1,27,,,,,,,,,,
-326.33918918918914,110.35135135135135,8192,130,2,62,0.3,10,-0.0010737180709838867,4960.85546875,0.01408189,-0.0057556721163564365,0.00025,-1.1109421167522668,11253.635559082031,0.0284423828125
-329.827,114.52,12288,123,3,99,0.3,20,2.0503997802734375e-05,4532.62109375,0.014697445,-0.006738513588788919,0.00025,-1.1067065376788379,10407.187231445312,0.0197265625
-314.845,114.46,16384,117,4,139,0.3,30,3.7550926208496094e-06,4237.50390625,0.011991078,-0.0034924002917250617,0.00025,-1.0980968203395605,9076.273669433594,0.0270751953125
-298.735,114.23,20480,113,5,180,0.3,40,1.8715858459472656e-05,3060.9033203125,0.011601015,-0.004711227273219265,0.00025,-1.078964200988412,6966.276504516602,0.0130859375
-290.408,116.22,24576,110,6,222,0.3,50,6.67572021484375e-06,2716.134033203125,0.012301909,-0.0051923764956882225,0.00025,-1.0415086302906276,6074.692282104492,0.012548828125
-286.048,119.32,28672,106,7,268,0.3,60,2.384185791015625e-07,2204.4619140625,0.009046926,-0.004505636722024064,0.00025,-1.0154424134641886,5129.066539001465,0.01142578125
-276.222,120.02,32768,103,8,316,0.3,70,5.662441253662109e-06,1930.7391357421875,0.012754621,-0.007049533194367541,0.00025,-0.9805401619523764,4313.704312133789,0.0217041015625
-261.485,118.34,36864,100,9,367,0.3,80,6.079673767089844e-06,1627.0916748046875,0.013566026,-0.008687570284382672,0.00025,-0.925379004329443,3424.5030502319337,0.0552001953125
-265.20000000000005,120.16,40960,97,10,418,0.3,90,6.496906280517578e-06,1218.8995361328125,0.018291684,-0.0069782524282345545,0.00025,-0.9290992327034473,2646.9325981140137,0.0706787109375
-260.71500000000003,120.0,45056,94,11,475,0.3,100,6.854534149169922e-06,1245.95263671875,0.011922807,-0.007371180769405327,0.00025,-0.9287946276366711,2634.7867782592775,0.0498046875
-254.30199999999994,118.66,49152,92,12,532,0.3,110,8.285045623779297e-06,837.4588012695312,0.011623068,-0.006430812731559854,0.00025,-0.9173986554145813,1825.4736976623535,0.033447265625
-240.71199999999996,114.98,53248,89,13,593,0.3,120,1.0251998901367188e-05,598.588134765625,0.025328811,-0.008444713315111586,0.00025,-0.8626271072775126,1436.0972290039062,0.096435546875
-236.76099999999994,115.3,57344,87,14,655,0.3,130,3.260374069213867e-05,452.0848083496094,0.0186043,-0.012160384833987337,0.00025,-0.8270248476415872,1152.268394088745,0.0779541015625
-236.14099999999996,114.48,61440,85,15,722,0.3,140,0.05751371383666992,310.1125793457031,0.013124415,-0.0081078006507596,0.00025,-0.7701929681003093,660.1993534088135,0.049853515625
-230.30200000000002,114.61,65536,82,16,791,0.3,150,0.546707034111023,198.76739501953125,0.006258525,-0.0074333915108582005,0.00025,-0.7447705354541541,451.8748197555542,0.0190673828125
-226.22400000000002,113.59,69632,80,17,863,0.3,160,0.6432552933692932,188.03338623046875,0.004957621,-0.003394117012794595,0.00025,-0.7621872644871474,387.9605037689209,0.0095947265625
-220.267,113.58,73728,78,18,937,0.3,170,0.7655003070831299,145.97003173828125,0.0053294254,-0.006097518626484088,0.00025,-0.698831845447421,297.3379180908203,0.016943359375
-215.99499999999998,114.07,77824,76,19,1014,0.3,180,0.8198280930519104,89.5858154296875,0.0058830213,-0.005649438653199468,0.00025,-0.6986816070973874,193.6219217300415,0.020166015625
-212.64,114.2,81920,74,20,1093,0.3,190,0.7790139317512512,91.897705078125,0.0049896925,-0.0049634982060524635,0.00025,-0.7298707813024521,225.10754976272582,0.0311767578125
-210.408,113.87,86016,73,21,1177,0.3,200,0.8596081733703613,62.319271087646484,0.0073464615,-0.004906992767064367,0.00025,-0.7408642347902059,152.99878058433532,0.025634765625
-210.945,113.51,90112,71,22,1263,0.3,210,0.888516902923584,42.81039810180664,0.008969851,-0.006482879351096926,0.00025,-0.7043176598846912,107.3136423587799,0.0302734375
-205.81399999999996,113.88,94208,69,23,1350,0.3,220,0.9072656035423279,34.07561111450195,0.008192245,-0.00675461302162148,0.00025,-0.6936231408268213,91.74379851818085,0.0307373046875
-202.06699999999998,115.48,98304,68,24,1441,0.3,230,0.926804780960083,25.00859832763672,0.006817092,-0.007243117319012527,0.00025,-0.6739088896661997,52.12834404706955,0.02880859375
-193.55799999999996,114.1,102400,66,25,1535,0.3,240,0.9394112825393677,26.140775680541992,0.01175251,-0.006991385873698163,0.00025,-0.6237794268876314,48.078098595142365,0.04677734375
-187.426,113.42,106496,65,26,1634,0.3,250,0.9627832770347595,7.077517032623291,0.0093591735,-0.005160321293806192,0.00025,-0.5824930187314749,26.366158485412598,0.02490234375
-175.57600000000002,112.59,110592,63,27,1733,0.3,260,0.9330621361732483,16.454858779907227,0.013057557,-0.009131188617902807,0.00025,-0.5491463659331203,37.77653293609619,0.0511962890625
-164.66800000000003,113.4,114688,62,28,1835,0.3,270,0.8131980895996094,61.52878952026367,0.010748295,-0.007060425492818467,0.00025,-0.4959133855998516,153.68617725372314,0.0269775390625
-150.651,115.27,118784,61,29,1935,0.3,280,0.8271248936653137,62.005210876464844,0.006284788,-0.003990495237667346,0.00025,-0.45153316780924796,140.0967695236206,0.0118408203125
-133.59799999999998,116.92,122880,60,30,2041,0.3,290,0.8264082074165344,64.22479248046875,0.0023523234,-0.001740514593984699,0.00025,-0.4464186567813158,168.84593839645385,0.0059814453125
-119.81700000000001,119.54,126976,59,31,2144,0.3,300,0.7653911113739014,150.59413146972656,0.009388755,-0.004523922702355776,0.00025,-0.3961241114884615,322.65760078430174,0.012548828125
-118.49499999999998,120.42,131072,58,32,2251,0.3,310,0.8189104795455933,127.9639663696289,0.0016761429,-0.002451777594978921,0.00025,-0.386138722114265,261.1388941764832,0.0050048828125
-116.96399999999998,120.41,135168,57,33,2361,0.3,320,0.8151940107345581,127.90616607666016,0.0027786156,-0.001667277255182853,0.00025,-0.39483945835381745,300.6764834403992,0.0134765625
-112.78,117.52,139264,56,34,2476,0.3,330,0.7928003668785095,176.03533935546875,0.0035821714,-0.0023492394728236833,0.00025,-0.4107786525040865,384.9476305007935,0.0141845703125
-104.44699999999999,116.46,143360,55,35,2591,0.3,340,0.7957671284675598,204.75791931152344,0.0016599782,-0.0008786017511738464,0.00025,-0.40090708155184984,412.00873641967775,0.0
-94.45200000000001,116.38,147456,54,36,2709,0.3,350,0.8012677431106567,170.10328674316406,0.001117677,-0.00043602935402304867,0.00025,-0.4076967962086201,414.4390209197998,0.0
-92.27699999999999,116.26,151552,53,37,2829,0.3,360,0.8027315139770508,200.37530517578125,0.0032332381,-0.0010752165719168261,0.00025,-0.3963575268164277,436.1989694595337,0.0
-80.556,117.34,155648,52,38,2952,0.3,370,0.8049798011779785,235.96896362304688,0.001712976,-0.0011321886944642757,0.00025,-0.38919524364173413,516.3519557952881,0.0
-83.7,115.98,159744,51,39,3080,0.3,380,0.7657602429389954,250.5815887451172,0.0056683184,-0.0005291190864227246,0.00025,-0.39105424880981443,651.5790950775147,0.00068359375
-75.07800000000002,116.89,163840,51,40,3207,0.3,390,0.7993828654289246,305.6807556152344,0.00046541885,-0.0006567186974280048,0.00025,-0.388455188088119,547.0099496841431,0.0
-78.28,114.95,167936,50,41,3340,0.3,400,0.7616163492202759,381.72601318359375,0.00070948584,-0.00021752458269475028,0.00025,-0.3878916407003999,698.1090188980103,0.0
-80.009,112.61,172032,49,42,3482,0.3,410,0.8210924863815308,199.4435577392578,0.0075815683,-0.0024181150343792978,0.00025,-0.38562026135623456,473.24274654388427,0.007421875
-76.81400000000001,110.69,176128,48,43,3621,0.3,420,0.7616548538208008,305.6124572753906,0.0011787731,-0.00037666748830815776,0.00025,-0.3695376869291067,556.871678352356,0.0
-73.817,110.0,180224,47,44,3766,0.3,430,0.7776133418083191,260.4499206542969,0.00042533508,-0.0005521688653971069,0.00025,-0.3651952436193824,605.1331829071045,0.0
-67.275,109.82,184320,47,45,3918,0.3,440,0.7666351199150085,277.39996337890625,0.006536578,-0.0014738643963937647,0.00025,-0.36807559672743084,665.1517189025878,0.0
-75.189,107.85,188416,46,46,4074,0.3,450,0.7448256611824036,331.3328552246094,0.0013666002,-0.00047509945870842784,0.00025,-0.35748979561030864,774.6037330627441,0.0013427734375
-67.03699999999999,108.11,192512,45,47,4241,0.3,460,0.7893362045288086,327.0356140136719,0.0041476535,-0.0014143838838208468,0.00025,-0.3458340184763074,639.8144470214844,0.0
-76.535,108.31,196608,44,48,4405,0.3,470,0.7700788974761963,225.62281799316406,0.0084619615,-0.0036614994613046294,0.00025,-0.3517493367195129,568.1337085723877,0.0236328125
-80.94800000000001,107.84,200704,43,49,4572,0.3,480,0.8556904196739197,161.65234375,0.005220754,-0.0014224145576008595,0.00025,-0.36458800323307516,359.48650074005127,0.0001708984375
-77.819,108.19,204800,43,50,4744,0.3,490,0.7673806548118591,229.4555206298828,0.00016967695,-0.0003379473651875742,0.00025,-0.336171056330204,544.9330533981323,0.0
-70.32,108.44,208896,42,51,4914,0.3,500,0.7597044706344604,324.34075927734375,0.001925913,-0.0006908946816110983,0.00025,-0.3466186486184597,664.673237991333,0.001611328125
-69.762,110.02,212992,41,52,5088,0.3,510,0.747970700263977,365.8629150390625,0.0059620566,-0.001313966423185775,0.00025,-0.3698809463530779,892.138041305542,0.0021240234375
-82.912,111.15,217088,41,53,5264,0.3,520,0.7891319990158081,265.622314453125,0.012653888,-0.0029852312378352507,0.00025,-0.37538576424121856,530.5306150436402,0.0175537109375
-81.413,114.11,221184,40,54,5431,0.3,530,0.8294744491577148,177.7396697998047,0.010983028,-0.002409730794897769,0.00025,-0.36877931039780376,390.4437885284424,0.0106201171875
-83.141,116.08,225280,40,55,5604,0.3,540,0.7852074503898621,340.4869689941406,0.0042932923,-0.0010013945822720416,0.00025,-0.38168703205883503,624.9293279647827,0.007080078125
-63.892999999999994,118.62,229376,39,56,5776,0.3,550,0.7895114421844482,242.36366271972656,0.010777558,-0.0034499182205763646,0.00025,-0.34268791116774083,539.777712059021,0.0054443359375
-68.84,117.57,233472,39,57,5954,0.3,560,0.7818939685821533,321.8831787109375,0.005401513,-0.0011739971581846476,0.00025,-0.3671376846730709,697.7877285003663,0.012353515625
-65.57,116.19,237568,38,58,6145,0.3,570,0.768180251121521,348.1102600097656,0.00441436,-3.6710630229208616e-05,0.00025,-0.3839198898524046,761.6808780670166,0.0
-70.102,116.32,241664,38,59,6325,0.3,580,0.8064419627189636,314.5939025878906,0.01158176,-0.0031223377314745448,0.00025,-0.36456431690603497,645.9156324386597,0.00517578125
-69.436,118.33,245760,37,60,6502,0.3,590,0.8162921667098999,249.23988342285156,0.008851767,-0.001837719315517461,0.00025,-0.3571023730561137,491.5639459609985,0.0005859375
-71.862,120.85,249856,37,61,6686,0.3,600,0.7615262866020203,252.32540893554688,0.0021750864,-0.00015492876700591297,0.00025,-0.35808653235435484,680.6186592102051,0.0
-72.638,121.09,253952,36,62,6877,0.3,610,0.77497398853302,274.9230041503906,0.0011540985,-0.0008573091698053758,0.00025,-0.37030609175562856,641.5874988555909,0.0032470703125
-81.41,118.17,258048,36,63,7069,0.3,620,0.8034911751747131,240.4437713623047,0.0018098574,-0.00039806597196729855,0.00025,-0.37996828742325306,585.2962797164917,0.0
-74.688,117.84,262144,36,64,7265,0.3,630,0.7971934676170349,320.1277770996094,0.00543042,-0.0018675023762625641,0.00025,-0.38840756341814997,677.1556783676148,0.0140625
-70.934,116.15,266240,35,65,7468,0.3,640,0.8031700253486633,210.09925842285156,0.0082741575,-0.0011419617316278164,0.00025,-0.39328328184783456,501.44365043640136,0.008837890625
-63.07299999999999,114.49,270336,35,66,7680,0.3,650,0.8056354522705078,225.26370239257812,0.00566898,-0.0016393231970141641,0.00025,-0.3741720763966441,504.31424083709715,0.00048828125
-67.82600000000001,112.86,274432,34,67,7889,0.3,660,0.7625424861907959,305.9976501464844,0.012778201,-0.0057585274407756515,0.00025,-0.3491986094042659,690.3981460571289,0.0350830078125
-73.73299999999999,110.61,278528,34,68,8107,0.3,670,0.7924109101295471,250.0836181640625,0.008945953,-0.003777442459249869,0.00025,-0.3696950228884816,533.5805809020997,0.0230224609375
-70.027,110.76,282624,32,69,8606,0.3,680,0.7718489170074463,384.587890625,0.0046453383,-0.0008802040785667487,0.00025,-0.3437733344733715,762.7934616088867,0.0
