time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates
77824,132,586,328.28,19,-30.690000534057617,5e-05,-0.0029346760425445003,0.005644162,0.963322103023529,0.2,-0.9302250345547994,0.05315755208333333,0.10896572470664978,0.5558210426941514,270
81920,132,619,331.49,20,-31.8799991607666,5e-05,-0.003381738098808758,0.0037695921,0.9740971326828003,0.2,-0.9181318829456965,0.025406901041666666,0.1689254343509674,0.7462013339934249,285
86016,131,653,334.86,21,-31.575000762939453,5e-05,-0.003163049604821329,0.005585949,0.9773095846176147,0.2,-0.9410234204183022,0.03974609375,0.15622511506080627,0.6290500142611564,300
90112,131,686,339.43,22,-31.045000076293945,5e-05,-0.005037277593995289,0.0056164716,0.9476543664932251,0.2,-0.9344551836450895,0.04431966145833333,0.08991674333810806,1.126663588018467,315
94208,130,719,342.77,23,-31.5,5e-05,-0.005539695854531601,0.0053510107,0.9642446637153625,0.2,-0.9437501970678568,0.06180013020833333,0.1483810544013977,0.5816315788465242,330
98304,130,753,345.55,24,-31.7450008392334,5e-05,-0.004851344662165502,0.0077416277,0.9662254452705383,0.2,-0.9269839035967986,0.059326171875,0.6508194804191589,0.990056121783952,345
102400,129,788,347.16,25,-31.44499969482422,5e-05,-0.0053463545048240725,0.007109627,0.971723198890686,0.2,-0.9423677239567041,0.06764322916666667,0.33136919140815735,0.8957280068968733,360
106496,129,822,347.67,26,-30.739999771118164,5e-05,-0.005081124954449479,0.0062167207,0.9688290357589722,0.2,-0.9423686613639196,0.055647786458333334,0.08101533353328705,0.7367132494536539,375
110592,129,857,349.65,27,-30.739999771118164,5e-05,-0.00441966656120106,0.0051524146,0.9799136519432068,0.2,-0.9442520594845215,0.075537109375,0.08340168744325638,0.4026682666813334,390
114688,128,889,350.85,28,-31.235000610351562,5e-05,-0.005459013197590442,0.0048718136,0.9631015062332153,0.2,-0.9587049001206954,0.05978190104166667,0.05182880908250809,0.6125323335329692,405
118784,128,925,352.41,29,-31.045000076293945,5e-05,-0.0031183030742492216,0.0041362653,0.9580386877059937,0.2,-0.9524581989894311,0.032242838541666666,0.1376073658466339,0.9720487865308921,420
122880,127,963,353.29,30,-30.020000457763672,5e-05,-0.004153265984981166,0.0056199096,0.9596495032310486,0.2,-0.9655907089511554,0.045361328125,0.486935555934906,1.0306096715542177,435
126976,127,999,354.29,31,-30.06999969482422,5e-05,-0.0048759415716631335,0.0051720003,0.9772231578826904,0.2,-0.9428297849992912,0.06123046875,0.03958449512720108,0.17355163760948927,450
131072,126,1037,354.79,32,-29.610000610351562,5e-05,-0.00261277902063739,0.0040514795,0.9609663486480713,0.2,-0.9428481324265401,0.03439127604166667,0.04622889310121536,0.42868135843115546,465
135168,126,1072,354.86,33,-29.364999771118164,5e-05,-0.002538698093849234,0.004980796,0.9765975475311279,0.2,-0.9375903993844986,0.04000651041666667,0.12285834550857544,0.5091728409597029,480
139264,125,1113,358.22,34,-28.30500030517578,5e-05,-0.0036637984587287063,0.0059606894,0.9530735611915588,0.2,-0.9111642563094695,0.05123697916666667,0.1486198902130127,0.5513861034531147,495
143360,124,1150,359.38,35,-27.71500015258789,5e-05,-0.0031653187402601664,0.006241855,0.9765403270721436,0.2,-0.9159300270179908,0.07779947916666667,0.038239941000938416,0.21365370294855288,510
147456,124,1186,359.66,36,-27.424999237060547,5e-05,-0.003649786882063684,0.0047200066,0.9438896179199219,0.2,-0.9052310055742662,0.05340169270833333,0.06844344735145569,0.6226385948713868,525
151552,123,1228,361.87,37,-26.354999542236328,5e-05,-0.005192143131959408,0.0045829923,0.9774585366249084,0.2,-0.9058446452021599,0.06515299479166667,0.05619087070226669,0.26526973070576787,540
155648,122,1272,363.32,38,-25.28499984741211,5e-05,-0.00527626694686963,0.0075676423,0.9701695442199707,0.2,-0.9118883538991213,0.058544921875,0.07800261676311493,0.36392171719732386,555
159744,121,1313,365.01,39,-25.489999771118164,5e-05,-0.003810227300709812,0.005292276,0.9741608500480652,0.2,-0.8996516042699416,0.053125,0.01863505318760872,0.1769407933888336,570
163840,120,1356,365.39,40,-24.709999084472656,5e-05,-0.003392703212011838,0.0034861902,0.950175404548645,0.2,-0.9124698645124832,0.026920572916666666,0.04898778721690178,0.5412418740956734,585
167936,119,1400,365.84,41,-24.079999923706055,5e-05,-0.005226039605137582,0.008479129,0.9834921360015869,0.2,-0.900012428065141,0.097802734375,0.11319676041603088,0.1452494803428029,600
172032,118,1449,366.62,42,-24.084999084472656,5e-05,-0.006588416227896232,0.0061519817,0.9655596017837524,0.2,-0.9181733389695486,0.07268880208333334,-0.004649031907320023,0.3854521616750086,615
176128,117,1496,365.55,43,-24.420000076293945,5e-05,-0.004768247278601242,0.0044303476,0.9651002883911133,0.2,-0.9022761939714352,0.047705078125,0.001670733094215393,0.2614533143816516,630
180224,116,1544,364.71,44,-24.454999923706055,5e-05,-0.004655584154776685,0.006374304,0.9737292528152466,0.2,-0.9176102618376414,0.06647135416666666,0.0016950815916061401,0.2460432291108494,645
184320,116,1588,364.28,45,-24.174999237060547,5e-05,-0.004016813451986915,0.00653346,0.9479235410690308,0.2,-0.9173958908766509,0.051106770833333336,0.007824024185538292,0.274541115302903,660
188416,115,1630,362.52,46,-24.190000534057617,5e-05,-0.004919650289715112,0.007926469,0.9767565131187439,0.2,-0.916379293302695,0.06344401041666667,0.0620969794690609,0.14377995711596062,675
192512,114,1676,360.71,47,-24.96500015258789,5e-05,-0.007640757786672717,0.0047422973,0.9788163304328918,0.2,-0.9157194793224335,0.06365559895833334,0.034503087401390076,0.22191354817089934,690
196608,113,1728,358.99,48,-24.700000762939453,5e-05,-0.0039040110593001978,0.0059267385,0.9688304662704468,0.2,-0.9275629393756389,0.06544596354166667,0.04647134989500046,0.4318873325052361,705
200704,112,1780,358.25,49,-24.68000030517578,5e-05,-0.005332083608906638,0.0067182686,0.9694659113883972,0.2,-0.9173428550362587,0.06886393229166667,0.027744999155402184,0.24455984047769258,720
204800,111,1830,358.01,50,-24.434999465942383,5e-05,-0.006463919002514255,0.007871868,0.993172824382782,0.2,-0.9028481310854356,0.06427408854166666,0.01988382637500763,0.09294587816111743,735
208896,110,1882,357.46,51,-24.459999084472656,5e-05,-0.003312792347909029,0.004951691,0.974240243434906,0.2,-0.9009118555734555,0.066748046875,0.013713611289858818,0.20574110557014744,750
212992,110,1932,357.76,52,-24.1299991607666,5e-05,-0.007433927770762239,0.0066448594,0.9956846833229065,0.2,-0.8675826941927274,0.07970377604166666,-0.011801719665527344,0.05581268842409675,765
217088,109,1974,360.01,53,-23.825000762939453,5e-05,-0.0030921775071571273,0.0040104603,0.9616996049880981,0.2,-0.8524710670113563,0.04287109375,0.010312870144844055,0.17607634672507022,780
221184,109,2023,361.29,54,-24.325000762939453,5e-05,-0.004746183675645928,0.005447875,0.9851362109184265,0.2,-0.8497043321530025,0.06661783854166667,-0.00906563550233841,0.07315280866265918,795
225280,108,2075,362.82,55,-23.440000534057617,5e-05,-0.005630831624148414,0.0063461643,0.9654481410980225,0.2,-0.8351292977730433,0.065478515625,0.07621721923351288,0.418152384320274,810
229376,108,2117,364.09,56,-23.100000381469727,5e-05,-0.00502711181131114,0.005284419,0.9881187081336975,0.2,-0.8407357636839151,0.068994140625,0.0004780218005180359,0.07959767098849019,825
233472,107,2162,366.25,57,-22.725000381469727,5e-05,-0.005876077205175534,0.0054394566,0.9969840049743652,0.2,-0.8634675836811463,0.06803385416666667,-0.023419160395860672,0.04779946939476455,840
237568,106,2222,367.98,58,-22.399999618530273,5e-05,-0.006210831012867857,0.005144357,0.9975644946098328,0.2,-0.8295835985491673,0.06559244791666667,-0.002165086567401886,0.03585818207163053,855
241664,106,2278,369.95,59,-22.040000915527344,5e-05,-0.006846349746532117,0.0063296133,0.9977318644523621,0.2,-0.826323622216781,0.05340169270833333,-0.0017475951462984085,0.04289705484018971,870
245760,105,2337,372.91,60,-21.975000381469727,5e-05,-0.0064641968313177735,0.00627305,0.9980421662330627,0.2,-0.781849297011892,0.06741536458333333,-0.01268931943923235,0.03567934677315255,885
