time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_fraction
1280,37,284.31,151552,118,-4.8533101081848145,18.72420883178711,5e-05,-0.81167791398863,54.57506286501884,540,0.2,0.25128650665283203,0.0036184876,-0.0022721373827759334,0.03427734375
1319,38,282.67,155648,117,0.7333300113677979,6.3008713722229,5e-05,-0.8086885781337817,20.595141245921454,555,0.2,0.41288113594055176,0.0044029467,-0.0035018857236233697,0.04254557291666667
1359,39,280.98,159744,117,3.6850202083587646,36.896644592285156,5e-05,-0.8139828257262707,43.57010277460019,570,0.2,0.5184237360954285,0.004491326,-0.0033143552846013336,0.038557942708333334
1397,40,278.85,163840,117,7.877151012420654,18.93625831604004,5e-05,-0.7570948311438163,39.903876100977264,585,0.2,0.5839635729789734,0.0048528947,-0.0022048716050145837,0.02705078125
1436,41,279.92,167936,116,9.75607967376709,40.181983947753906,5e-05,-0.7386209600915511,48.673437435428305,600,0.2,0.3767141103744507,0.006336421,-0.0023699070705333726,0.04150390625
1479,42,279.44,172032,116,10.456561088562012,19.919565200805664,5e-05,-0.7924648355692625,34.72962979276975,615,0.2,0.47395646572113037,0.0044089416,-0.002287746917378778,0.04537760416666667
1520,43,276.89,176128,115,10.394108772277832,5.745722770690918,5e-05,-0.7596016149967909,40.47728527486324,630,0.2,0.1523846983909607,0.0020215,-0.0016388878835035332,0.016194661458333332
1565,44,273.67,180224,115,8.007328987121582,12.2451171875,5e-05,-0.7616361482689779,48.37133992513021,645,0.2,0.3471313714981079,0.003649596,-0.0015110628708498552,0.029606119791666666
1612,45,273.35,184320,114,9.407649993896484,15.11772632598877,5e-05,-0.7302873456229766,48.696521601080896,660,0.2,0.32324326038360596,0.0031910958,-0.0021821620781944753,0.019091796875
1655,46,270.8,188416,113,8.280200004577637,25.681249618530273,5e-05,-0.7100645244121552,35.4940453723073,675,0.2,0.36967384815216064,0.003072743,-0.0008038400211565507,0.017854817708333335
1701,47,266.34,192512,113,8.129659652709961,4.3869948387146,5e-05,-0.6990194708108902,35.14714813133081,690,0.2,0.359866738319397,0.0035038358,-0.0034979005865655682,0.038167317708333336
1742,48,261.12,196608,112,8.424880027770996,2.2549405097961426,5e-05,-0.7130771285543839,11.480547991891703,705,0.2,0.7818747162818909,0.0035197337,-0.0032872445891068006,0.032568359375
1789,49,255.14,200704,112,9.590860366821289,10.463788032531738,5e-05,-0.6662919814387958,32.42793046782414,720,0.2,0.5673561096191406,0.0036929294,-0.002676884172979044,0.038232421875
1831,50,252.19,204800,111,9.823809623718262,14.34947395324707,5e-05,-0.6627553140123685,40.2037959198157,735,0.2,0.5994982719421387,0.0017323274,-0.0014791929759667255,0.021370442708333333
1876,51,247.29,208896,111,11.823709487915039,15.354317665100098,5e-05,-0.6499487812320391,35.398359196384746,750,0.2,0.7216899394989014,0.0022157556,-0.0016051795028033666,0.01533203125
1925,52,243.29,212992,110,16.602710723876953,13.677507400512695,5e-05,-0.6406768431887031,33.550422147413094,765,0.2,0.6034151315689087,0.0028924532,-0.0020357169562582084,0.019026692708333334
1971,53,240.41,217088,110,16.895591735839844,24.73627471923828,5e-05,-0.6052148345236977,40.57175906697909,780,0.2,0.6740055680274963,0.003760375,-0.0031022420963078426,0.018912760416666667
2020,54,237.96,221184,109,20.043041229248047,16.41500473022461,5e-05,-0.6224638421709339,50.79309670825799,795,0.2,0.5683547854423523,0.003871671,-0.0016303077502622424,0.01953125
2067,55,235.39,225280,108,24.150609970092773,8.822007179260254,5e-05,-0.6488821906348069,30.101361697912218,810,0.2,0.6364882588386536,0.0034407447,-0.003225792541343253,0.040234375
2115,56,231.9,229376,108,24.849096298217773,4.726032257080078,5e-05,-0.6483349310855071,20.416815220812957,825,0.2,0.7703536748886108,0.0028264397,-0.0030052774954432,0.027783203125
2161,57,230.32,233472,108,23.810680389404297,9.321586608886719,5e-05,-0.6428532999008894,17.726544572909674,840,0.2,0.8256828784942627,0.0029036505,-0.0024271022814597626,0.033430989583333334
2206,58,227.1,237568,107,27.913902282714844,2.2063772678375244,5e-05,-0.6486160021275282,15.727359637618065,855,0.2,0.8701871037483215,0.0028993574,-0.0011169443559386613,0.024365234375
2256,59,226.58,241664,107,27.854421615600586,6.266384601593018,5e-05,-0.6544305993244052,7.319310096651316,870,0.2,0.9156143665313721,0.0036365064,-0.002404884233692428,0.037125651041666666
2303,60,226.38,245760,106,27.814620971679688,15.974000930786133,5e-05,-0.6159347722306847,24.290267360210418,885,0.2,0.8217428922653198,0.0030599078,-0.0025228942366084086,0.016357421875
2349,61,225.56,249856,106,31.715436935424805,7.614831447601318,5e-05,-0.6173629252860944,11.117930527031422,900,0.2,0.9122772812843323,0.003496323,-0.002193731750109388,0.03154296875
2398,62,225.78,253952,105,33.79521942138672,5.086410999298096,5e-05,-0.5917848013341427,17.66664094030857,915,0.2,0.8663751482963562,0.0023015249,-0.0022629956026018285,0.026627604166666666
2450,63,224.26,258048,105,33.79673767089844,2.4312281608581543,5e-05,-0.6039784802123904,9.356571593383949,930,0.2,0.8510094881057739,0.0021705423,-0.0012709551408382443,0.024560546875
2500,64,224.87,262144,104,34.85612869262695,1.7672405242919922,5e-05,-0.5912540869166454,8.657741622875134,945,0.2,0.9286611676216125,0.0025353201,-0.0014860136864930003,0.032421875
2554,65,222.06,266240,104,35.67893981933594,2.492652177810669,5e-05,-0.5643270048623283,13.331403340399266,960,0.2,0.893129825592041,0.0032502837,-0.00207071568632576,0.030354817708333332
2612,66,220.51,270336,103,37.66048812866211,2.239316940307617,5e-05,-0.573486049224933,6.39851998736461,975,0.2,0.9438073635101318,0.0027969389,-0.0029971827015591165,0.028694661458333333
2668,67,216.44,274432,102,41.70455551147461,1.5178508758544922,5e-05,-0.5711340390145778,3.7504780845095715,990,0.2,0.9742014408111572,0.0040814527,-0.0014596153518747694,0.04656575520833333
2723,68,215.69,278528,102,41.70530700683594,0.9095590114593506,5e-05,-0.5828878364836176,3.1724023843804994,1005,0.2,0.9667809009552002,0.0037177005,-0.0007319391855465559,0.05651041666666667
2781,69,214.44,282624,101,42.74656295776367,1.0605583190917969,5e-05,-0.56481773853302,3.300806665296356,1020,0.2,0.9722763895988464,0.0045102234,-0.002604843430647937,0.03984375
2836,70,212.33,286720,101,43.7686653137207,6.308475494384766,5e-05,-0.5582155412063002,13.539151184260845,1035,0.2,0.8615397214889526,0.002858524,-0.0013206159494681439,0.021956380208333334
2897,71,210.61,290816,100,44.770389556884766,0.6928697228431702,5e-05,-0.5214860158041119,2.5900092190752426,1050,0.2,0.9490829706192017,0.004469544,-0.0028704632955244354,0.053873697916666664
2962,72,208.1,294912,99,44.81290054321289,0.5855005383491516,5e-05,-0.510516558152934,1.8421558088312546,1065,0.2,0.9858349561691284,0.0053290892,-0.0032700066857311565,0.045182291666666666
3022,73,205.79,299008,98,45.85520935058594,2.8787002563476562,5e-05,-0.48891737771530946,8.299390363444884,1080,0.2,0.8882324695587158,0.0028665923,-0.0015338105421202877,0.015983072916666667
