#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
-23.272,273,563.116747
-22.778,279,567.938282
-22.763,264,572.006445
-22.771,272,573.577912
-23.786,287,574.988042
-48.773,274,578.335815
-22.264,265,581.316903
-23.26,261,583.055306
-22.259,260,584.114724
-23.268,269,588.76495
-48.798,299,591.459296
-23.269001,270,592.556169
-48.289,290,592.972375
-48.782,283,596.94518
-22.776,277,599.593623
-48.78,281,600.625902
-23.281,282,601.154173
-22.767,268,607.277732
-48.785,286,611.634881
-48.777,278,612.849523
-22.296,297,613.802067
-48.281,282,618.100919
-22.755001,256,620.496332
-48.769,270,622.618807
-23.293,294,623.642102
-23.293,294,628.072041
-23.273,274,629.861458
-23.777,278,631.582822
-22.779,280,632.619086
-23.796999,298,637.267367
-22.78,281,638.758242
-23.273,274,642.311678
-23.264,265,642.66416
-23.285,286,647.568117
-23.281,282,649.392874
-22.767,268,650.524397
-48.782,283,652.21732
-23.298,299,658.364714
-22.779,280,659.403233
-48.297,298,661.056604
-22.782999,284,661.510449
-48.282,283,666.428765
-23.299,300,668.06504
-48.778,279,669.300824
-48.784,285,669.368955
-48.298,299,678.320369
-48.785,286,679.217417
-48.771,272,680.195993
-22.778,279,680.87957
-48.784,285,689.081749
-23.295,296,690.042811
-23.273,274,691.269485
-48.772,273,691.865936
-48.265,266,699.13783
-22.792,293,700.05762
-23.3,301,701.70246
-48.794,295,701.777788
-47.772,273,706.532086
-23.264,265,707.409983
-48.268,269,708.456795
-22.776,277,709.238404
-48.288,289,716.895396
-23.284,285,718.011721
-23.279,280,719.21436
-23.282999,284,720.531804
-22.766,267,726.213428
-23.273,274,728.252049
-23.272,273,729.339175
-23.282999,284,730.888034
-23.784,285,735.936165
-48.275,276,738.002884
-22.786,287,739.389939
-22.793,294,740.165757
-48.283,284,745.392269
-23.299,300,749.440251
-48.786,287,750.622388
-23.301,302,751.984763
-23.778,279,756.872507
-48.784,285,759.643042
-47.792,293,761.487037
-23.274,275,762.386972
-23.296999,298,769.187083
-22.282,283,771.190069
-23.285,286,772.414587
-48.277,278,773.30479
-23.766,267,779.016408
-22.286,287,782.517123
-21.793,294,783.951376
-23.291,292,784.934504
-22.769001,270,790.97103
-23.286,287,793.480689
-22.784,285,794.696238
-22.28,281,795.36618
-23.287,288,799.171435
-22.793,294,803.242112
-48.275,276,804.247802
-48.785,286,805.307609
-48.79,291,809.455037
-23.271,272,813.171383
47.704,297,813.171455
-48.285,286,814.147911
-52.276,277,817.776034
-23.771,272,821.070884
-48.804,305,823.489198
-22.279,280,824.403801
-23.285,286,827.978218
49.714,287,831.282227
-23.309,310,832.386368
-48.304,305,833.075945
-22.796999,298,836.563697
-48.804,305,840.572777
-48.795,296,841.412802
-23.3,301,842.382477
-48.284,285,846.628008
-48.781,282,852.049922
-48.789,290,853.317645
-23.282,283,853.937314
-22.28,281,858.644154
53.704,297,864.091609
-23.278,279,865.003359
-23.277,278,865.448756
-22.775,276,870.775202
-23.303,304,875.638987
-23.279,280,876.440623
-23.289999,291,877.596906
-48.766,267,880.826512
-23.779,280,886.388261
-48.793,294,887.024533
49.695,306,889.209312
-23.806,307,892.232551
-22.788,289,897.072997
-23.277,278,898.168065
-48.781,282,900.937355
-48.801,302,906.105242
-23.303,304,912.9456
-22.794,295,913.650399
-23.298,299,914.975121
49.696,305,918.500885
-22.787,288,923.79037
-23.296999,298,924.822514
-23.775,276,925.70653
-23.282,283,931.032159
-23.768,269,935.135166
-23.287,288,935.32866
-48.799,300,936.553186
-23.295,296,941.506624
47.732,269,946.342238
-22.798,299,947.337338
-23.268,269,948.702911
-48.797,298,952.966455
-23.81,311,957.916666
-48.291,292,958.874407
-23.279,280,959.156429
-48.292,293,963.361287
-23.782,283,968.209462
-52.29,291,969.541587
-48.794,295,969.631998
53.722,279,972.422847
-23.273,274,976.482572
-23.776,277,976.688286
49.701,300,977.047797
-23.288,289,982.676512
49.758,243,985.060264
-23.271,272,987.283002
-48.284,285,988.395923
-22.791,292,993.309291
-22.788,289,996.974505
-23.314,315,997.173096
-23.303999,305,998.208692
-23.292,293,1003.859361
