time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
38912,580.4242424242424,9714.90909090909,192,202,19,180,0.2,0.0003,0.013623046875,39406.0,78659.36923828124,0.0,-1.0186895694583655,-0.004356324096443131,0.0032987425
40960,580.6714285714286,9784.9,191,213,20,190,0.2,0.0003,0.0060546875,40232.38671875,79187.07385253906,0.0,-1.0486854886636139,-0.003471804587752558,0.0036055888
43008,583.2602739726027,9878.479452054795,191,224,21,200,0.2,0.0003,0.00625,34623.1796875,79406.04040527344,0.0,-1.0589431377127767,-0.0028772389254299925,0.0019073214
45056,583.1688311688312,9947.948051948051,191,235,22,210,0.2,0.0003,0.029248046875,42287.47265625,88899.09895019532,1.1920928955078125e-07,-1.0342318775132298,-0.006978384993271902,0.0045347186
47104,587.475,10096.7375,190,247,23,220,0.2,0.0003,0.031982421875,37787.74609375,87296.14794921875,0.0,-1.0548806408420206,-0.007336050593585242,0.0061608925
49152,591.3734939759037,10227.795180722891,190,257,24,230,0.2,0.0003,0.048095703125,54415.41015625,99168.21110839843,-1.1920928955078125e-07,-1.0395624397322536,-0.00800664706621319,0.0059962645
51200,590.2441860465116,10199.976744186046,190,268,25,240,0.2,0.0003,0.030908203125,42444.1640625,91236.43637695312,0.0,-1.043684897571802,-0.004817926783289295,0.004879335
53248,593.1573033707865,10297.730337078652,188,282,26,250,0.2,0.0003,0.02880859375,26649.509765625,66784.90904541015,5.960464477539063e-08,-1.0458260977640748,-0.006619084333942737,0.005019106
55296,595.2608695652174,10361.108695652174,187,294,27,260,0.2,0.0003,0.06142578125,40896.265625,86052.6716064453,-1.1920928955078125e-07,-1.0503089774399996,-0.008178119829972274,0.007231366
57344,597.3157894736842,10453.726315789474,185,308,28,270,0.2,0.0003,0.01083984375,44339.64453125,92807.5716796875,-1.1920928955078125e-07,-0.9987397203221917,-0.003687159580294974,0.0045006694
59392,599.7142857142857,10533.744897959185,184,322,29,280,0.2,0.0003,0.044873046875,40014.80078125,83149.384375,0.0,-1.034340823441744,-0.006876345411001239,0.00641359
61440,602.49,10625.74,181,338,30,290,0.2,0.0003,0.029443359375,39959.0703125,86528.05229492187,1.1920928955078125e-07,-1.0290074788033963,-0.005689787968003656,0.0049590645
