time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/explained_variance
435,355.95,221184,108,-19.989549999999998,508,0.000997922383248806,0.0003,0.2,-0.6175778520293533,-0.005988498194346903,0.007250475,0.25401979104499334,0.08662109375,1070,0.9525072574615479
440,357.12,223232,109,-20.00302,506,-0.010680179111659527,0.0003,0.2,-0.6156581239774823,-0.008456623612437398,0.010697249,0.02835772436519619,0.1421875,1080,0.9987387657165527
446,358.19,225280,110,-20.007289999999998,504,0.02558218315243721,0.0003,0.2,-0.6249356613494456,-0.00607663699920522,0.018574096,0.024993582756724208,0.13544921875,1090,0.9984617233276367
451,358.95,227328,111,-20.042450000000002,503,-0.002798219211399555,0.0003,0.2,-0.6199068773537875,-0.006281089213734959,0.01813456,0.02166128630778985,0.143408203125,1100,0.9987723231315613
456,358.74,229376,112,-20.07964,501,-0.009133961983025074,0.0003,0.2,-0.6438855894841253,-0.005803869130613748,0.013568985,0.029943798189924563,0.138134765625,1110,0.9950674772262573
462,358.61,231424,113,-20.110709999999997,500,-0.0004816018044948578,0.0003,0.2,-0.6114563779905439,-0.011317597240849863,0.015206946,0.02756878633517772,0.13984375,1120,0.9985533356666565
467,360.31,233472,114,-20.14701,499,-0.02358134090900421,0.0003,0.2,-0.6046575710177422,-0.012534410169973854,0.023927037,0.026174170977901666,0.153857421875,1130,0.9983670711517334
473,362.01,235520,115,-20.136809999999997,497,-0.01912846788764,0.0003,0.2,-0.5894799770787358,-0.0061784260193235244,0.012482147,0.02668568443186814,0.096142578125,1140,0.9986853003501892
478,361.94,237568,116,-20.136639999999996,496,-0.00683181919157505,0.0003,0.2,-0.5825656795874238,-0.002175641307258047,0.020368561,0.025946055304666517,0.142236328125,1150,0.9984662532806396
484,361.9,239616,117,-20.1571,494,-0.003006329759955406,0.0003,0.2,-0.6123488606885076,-0.00579032069290406,0.012344848,0.024556146003305912,0.12666015625,1160,0.9985676407814026
490,361.99,241664,118,-20.20739,493,-0.0403820276260376,0.0003,0.2,-0.6477325603365898,-0.009811655343946768,0.012606398,0.03107213714538375,0.11884765625,1170,0.9982512593269348
495,361.78,243712,119,-20.23088,491,-0.01905430480837822,0.0003,0.2,-0.6146543716080487,-0.012417383982392494,0.016564317,0.02250116263894597,0.13798828125,1180,0.9988481998443604
501,360.05,245760,120,-20.23145,489,-0.01776149496436119,0.0003,0.2,-0.588414450827986,-0.00824593178840587,0.017360315,0.024636172539612745,0.15234375,1190,0.9989694952964783
507,359.6,247808,121,-20.5315,488,-0.0272093266248703,0.0003,0.2,-0.5846769602969288,-0.008814322716352763,0.01755583,0.02708897068951046,0.13916015625,1200,0.9989087581634521
513,358.32,249856,122,-20.63042,486,0.009833328425884247,0.0003,0.2,-0.5644406445324421,-0.001385212286913884,0.009484452,0.5423599315516185,0.098193359375,1210,0.9261441230773926
518,357.62,251904,123,-20.693219999999997,485,0.011075918562710285,0.0003,0.2,-0.5851328494027257,-0.008570391807006672,0.014429689,0.0394134249392664,0.149951171875,1220,0.9963843822479248
