rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
-367.9142857142857,195,20,4096,1,571.8571428571429,,,,,,,,,,
-186.94285714285715,181,45,8192,2,572.1428571428571,-0.009457460211706348,0.014208051,-1.0773578133434056,664.1141361236572,0.3,0.009897351264953613,243.74021911621094,0.0490966796875,10,0.00025
-84.38095238095237,177,69,12288,3,565.0,-0.012069635462830774,0.01320258,-1.0693692710250615,276.5118903160095,0.3,0.03680419921875,92.24517059326172,0.0436767578125,20,0.00025
158.40689655172415,175,93,16384,4,562.551724137931,-0.008980323096329812,0.017068002,-1.0457452900707722,776.9516645431519,0.3,0.2726682424545288,270.5788269042969,0.0245849609375,30,0.00025
283.69722222222225,174,117,20480,5,559.9722222222222,-0.005134184230701067,0.00726691,-1.012316707149148,4890.342903137207,0.3,0.22586292028427124,2075.071533203125,0.0048828125,40,0.00025
477.5818181818182,172,142,24576,6,557.25,-0.00549314307027089,0.008653613,-1.0014307975769043,4100.327690124512,0.3,0.16734808683395386,1690.01806640625,0.0078857421875,50,0.00025
561.4288461538463,171,167,28672,7,551.2115384615385,-0.002107857508235611,0.0014695086,-0.9855218607932329,10641.804022216797,0.3,0.09411078691482544,5074.25634765625,4.8828125e-05,60,0.00025
671.765,170,192,32768,8,545.5333333333333,-0.004853223929239902,0.007315956,-0.9453334491699934,7505.418658447265,0.3,0.06298989057540894,3203.602783203125,0.002392578125,70,0.00025
799.2074626865672,169,217,36864,9,547.0597014925373,-0.0038817832144559363,0.008556804,-0.9440731894224882,11448.063507080078,0.3,0.17942184209823608,5458.31005859375,0.0021484375,80,0.00025
955.5094594594594,166,245,40960,10,551.027027027027,-0.0012028098171867896,0.0009403883,-0.9825393464416265,19528.377526855467,0.3,0.20936262607574463,8032.36669921875,0.0,90,0.00025
1108.99375,161,278,45056,11,555.95,-0.0012405122324707918,0.00082885305,-1.0050101034343242,27769.988610839842,0.3,0.11848276853561401,13360.24609375,0.0,100,0.00025
1249.922988505747,158,310,49152,12,559.4367816091954,-0.001951732684392482,0.00232322,-1.0393790122121573,39316.011499023436,0.3,0.06312638521194458,20083.57421875,0.0,110,0.00025
