time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
13,2048,558.3333333333334,147,1,-28.721714000000002,,,,,,,,,,
29,4096,576.5714285714286,141,2,-6.973813571428571,10,0.0058568027,0.0003,37.47718499356415,0.2,-0.02199697494506836,27.671045303344727,0.038671875,-1.1106310337781906,-0.004847514494395
42,6144,579.1,143,3,-34.8816695,20,0.005302927,0.0003,0.7091948173358105,0.2,-0.621229887008667,0.1280132234096527,0.049609375,-1.093370658531785,-0.008538888933253474
54,8192,571.1428571428571,150,4,-29.7356455,30,0.0029209019,0.0003,87.81867658859119,0.2,-0.04882657527923584,29.504369735717773,0.007666015625,-1.088712989911437,-0.003912315341585782
66,10240,572.0588235294117,154,5,-35.608243117647056,40,0.0037497277,0.0003,32.67869730517268,0.2,0.35700446367263794,24.62603187561035,0.0162109375,-1.1038197146728634,-0.00531195704570564
79,12288,570.047619047619,155,6,-47.873339666666666,50,0.0021604383,0.0003,52.462045712326656,0.2,0.36473214626312256,10.900306701660156,0.00517578125,-1.0929428867995739,-0.003565168730347068
92,14336,568.72,155,7,-56.21360532,60,0.0028124778,0.0003,79.56511929994448,0.2,0.39426231384277344,55.493255615234375,0.009619140625,-1.0767782224342226,-0.0043285146442940455
104,16384,567.5357142857143,156,8,-60.905004749999996,70,0.0035595293,0.0003,68.02910290174187,0.2,0.5275940895080566,45.68936538696289,0.00966796875,-1.0785709900781513,-0.0037498312813113444
117,18432,565.78125,156,9,-58.872920875,80,0.00608885,0.0003,43.21673179974314,0.2,0.762048065662384,24.789897918701172,0.02900390625,-1.0816925453022121,-0.006764385799760931
130,20480,564.0833333333334,156,10,-63.44259633333334,90,0.0013775557,0.0003,35.38099891711026,0.2,0.7069646120071411,1.4560959339141846,0.00205078125,-1.0714476613327861,-0.002357028310871101
145,22528,562.175,155,11,-67.0983367,100,0.0041811657,0.0003,46.07265544869006,0.2,0.8081216216087341,45.77468490600586,0.01552734375,-1.0814149107784032,-0.0038232671417063103
157,24576,560.9767441860465,155,12,-66.89121760465116,110,0.005662071,0.0003,38.17152431141585,0.2,0.8556545972824097,18.288188934326172,0.029541015625,-1.042428894340992,-0.006836065895186039
172,26624,557.3191489361702,154,13,-69.70898631914893,120,0.004275282,0.0003,20.778926002420484,0.2,0.8563103079795837,1.2861354351043701,0.028369140625,-1.0488505443558096,-0.005101425648899749
187,28672,558.5294117647059,152,14,-72.08475209803922,130,0.004746628,0.0003,29.466875593177974,0.2,0.8655601143836975,7.295858383178711,0.027880859375,-1.028114165365696,-0.005106126764439977
201,30720,559.2592592592592,152,15,-71.55852212962962,140,0.005412278,0.0003,24.53151539629325,0.2,0.9238520860671997,0.4060094952583313,0.03740234375,-1.0546769864857197,-0.006495149247348309
217,32768,559.4655172413793,150,16,-73.52000336206898,150,0.004986186,0.0003,17.644248706987128,0.2,0.8814814686775208,0.1359604299068451,0.0208984375,-1.036427167803049,-0.005687638283416163
231,34816,560.1290322580645,150,17,-73.46082506451613,160,0.003566374,0.0003,17.12513543285895,0.2,0.9067357182502747,10.078543663024902,0.0408203125,-1.0086701637133957,-0.00884596833057003
