rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss
-27.938420000000004,729,34816,17,270.92,47,160,-0.8320929357782006,0.006547466,0.8854721485637128,0.0003,0.2,0.9309718012809753,0.07265625,0.5084565281867981,-0.005928962824691552
-27.90235,723,36864,18,273.05,50,170,-0.8572042774409055,0.0075933705,0.7870350104058161,0.0003,0.2,0.954825758934021,0.090966796875,0.19557246565818787,-0.0023474764289858284
-27.866440000000008,718,38912,19,276.44,54,180,-0.8989399608224631,0.008926494,0.7686357884667814,0.0003,0.2,0.9447086453437805,0.089208984375,0.04496121406555176,-0.007713817572948756
-28.112599999999997,714,40960,20,279.5,57,190,-0.904078583791852,0.007868688,0.9590197559213266,0.0003,0.2,0.9447930455207825,0.08427734375,0.29218459129333496,-0.00673744417836133
-27.786800000000003,708,43008,21,282.7,60,200,-0.8879169821739197,0.01063939,0.4468448695028201,0.0003,0.2,0.9658458828926086,0.111083984375,0.06426680088043213,-0.006304972802536213
-27.418450000000004,703,45056,22,285.75,64,210,-0.9074049670249223,0.010036679,0.4527792937820777,0.0003,0.2,0.9788143038749695,0.12763671875,0.05040767416357994,-0.005492560990387574
-26.512090000000004,699,47104,23,288.69,67,220,-0.868457973562181,0.011371734,0.3386247467482463,0.0003,0.2,0.9721440672874451,0.1189453125,0.09657865017652512,-0.00531610391990398
-25.64792,695,49152,24,292.32,70,230,-0.8115340942516923,0.012563687,0.26991111409151924,0.0003,0.2,0.9452150464057922,0.139599609375,0.06633134931325912,-0.005002334890014027
-25.575239999999997,692,51200,25,296.34,73,240,-0.83212901763618,0.0120012155,0.11210022826562635,0.0003,0.2,0.9868609309196472,0.143115234375,0.025672728195786476,-0.004715957971347962
-24.926460000000002,687,53248,26,300.86,77,250,-0.7848550207912922,0.015730165,0.07715840004966594,0.0003,0.2,0.992107093334198,0.135595703125,0.0006469395011663437,-0.008172820548497838
-24.536730000000002,683,55296,27,304.23,80,260,-0.7559085803106427,0.014165739,0.07582967047346756,0.0003,0.2,0.9941434264183044,0.13623046875,-0.019403446465730667,-0.009140213660430163
-24.149729999999998,679,57344,28,308.73,84,270,-0.7184189243242145,0.022175606,0.04519879422878148,0.0003,0.2,0.9947417974472046,0.140771484375,-0.022487834095954895,-0.009294606209732593
-23.48709,675,59392,29,311.79,87,280,-0.7519512729719281,0.0134962285,0.04721475741243921,0.0003,0.2,0.9960907697677612,0.108349609375,0.00858372077345848,-0.008246604264422785
-22.848250000000004,672,61440,30,314.55,91,290,-0.7278927000239491,0.013807613,0.041908324407995676,0.0003,0.2,0.9961785674095154,0.15810546875,-0.0068178921937942505,-0.010673046208103188
-22.445679999999996,669,63488,31,317.38,94,300,-0.7097230538725853,0.019797914,0.031619352017878556,0.0003,0.2,0.9975299835205078,0.138818359375,-0.014235792681574821,-0.01170478967105737
-21.743610000000004,664,65536,32,319.81,98,310,-0.7304422196000815,0.013166696,0.041833856487937734,0.0003,0.2,0.9924728870391846,0.135791015625,0.011786246672272682,-0.00839428742765449
-21.34283,661,67584,33,321.63,102,320,-0.7076271250844002,0.018168734,0.03296750440204051,0.0003,0.2,0.9986336827278137,0.132275390625,-0.0018450170755386353,-0.009345165148261003
-20.721860000000003,657,69632,34,323.06,105,330,-0.7388539226725698,0.008596647,0.032138781341200226,0.0003,0.2,0.9979005455970764,0.10712890625,-0.02016613259911537,-0.009890844475012272
-20.046830000000003,653,71680,35,322.33,109,340,-0.707839235290885,0.013100691,0.030420957214664666,0.0003,0.2,0.9981665015220642,0.117333984375,0.008795535191893578,-0.010302548110485078
-19.42736,648,73728,36,322.76,113,350,-0.7003963213413954,0.011382141,0.03401131813589018,0.0003,0.2,0.9967265725135803,0.13291015625,-0.005195998586714268,-0.011502842366462573
-19.08297,645,75776,37,323.27,117,360,-0.6505365036427975,0.009358499,0.03386812673707027,0.0003,0.2,0.997532844543457,0.10380859375,0.0016828901134431362,-0.007943969567713793
-18.75045,641,77824,38,323.55,121,370,-0.6691997610032558,0.011709144,0.039875883821514434,0.0003,0.2,0.9966712594032288,0.1244140625,0.007481667213141918,-0.008368480666831601
-18.72014,638,79872,39,323.64,125,380,-0.6606103505939245,0.010345866,0.03066961845906917,0.0003,0.2,0.9981390237808228,0.11201171875,-0.01375766284763813,-0.01041096726548858
-18.70491,634,81920,40,323.11,129,390,-0.6428225876763463,0.01309996,0.030979989658226258,0.0003,0.2,0.9974335432052612,0.127880859375,-0.009721826761960983,-0.013085229948774212
-18.66744,631,83968,41,323.64,133,400,-0.6385455213487148,0.017881408,0.0325676042586565,0.0003,0.2,0.99820476770401,0.133837890625,-0.021323401480913162,-0.00867191952711437
-18.6356,628,86016,42,324.2,136,410,-0.6054093308746815,0.008357662,0.025152377627091483,0.0003,0.2,0.9980193972587585,0.11142578125,-0.018262583762407303,-0.006025466551363934
-18.61837,627,88064,43,324.97,140,420,-0.5463051708415151,0.012698987,0.02186546364246169,0.0003,0.2,0.9991593360900879,0.13388671875,-0.02196216583251953,-0.011284965834056493
-18.61224,624,90112,44,325.34,144,430,-0.5708421646617353,0.013018215,0.02154933964338852,0.0003,0.2,0.999131977558136,0.12197265625,0.013072890229523182,-0.010001304814068135
-18.65741,621,92160,45,326.71,148,440,-0.588399245776236,0.020430248,0.018971581092046108,0.0003,0.2,0.9992366433143616,0.13427734375,0.01477870624512434,-0.010238155932893279
-18.69729,619,94208,46,328.69,152,450,-0.6272426145151258,0.015340805,0.02664651286031585,0.0003,0.2,0.9986893534660339,0.128466796875,0.006508964579552412,-0.011776052860659547
-18.74842,617,96256,47,330.42,155,460,-0.6005636911839247,0.014593936,0.02252296628721524,0.0003,0.2,0.9987469911575317,0.118115234375,0.0060120318084955215,-0.011796004563802854
-19.119040000000002,614,98304,48,332.84,159,470,-0.5999778385274113,0.018432457,0.023796847493213136,0.0003,0.2,0.9985978007316589,0.1408203125,-0.026035279035568237,-0.012112143210833893
-19.183009999999996,612,100352,49,335.11,163,480,-0.5954584203660488,0.005726668,0.4181623895652592,0.0003,0.2,0.9208741784095764,0.049365234375,0.022229904308915138,-0.003903556620934978
-19.28922,610,102400,50,337.82,167,490,-0.5530904956161976,0.016944915,0.026235988808912224,0.0003,0.2,0.9990848898887634,0.161474609375,-0.02957669273018837,-0.00890651590016205
-19.355850000000004,608,104448,51,340.95,171,500,-0.5719183347187936,0.01474002,0.041945472276711374,0.0003,0.2,0.9947497248649597,0.1197265625,0.01794406771659851,-0.0067481924750609325
-19.4735,605,106496,52,345.5,175,510,-0.5176857066340744,0.020130666,0.022446247616608163,0.0003,0.2,0.9990479350090027,0.1376953125,-0.03699066862463951,-0.007368879593559541
-19.5554,603,108544,53,348.9,179,520,-0.5415078986436128,0.016133148,0.02130939942871919,0.0003,0.2,0.9988355040550232,0.130908203125,0.002043931744992733,-0.0067231613924377594
-19.62566,601,110592,54,352.16,183,530,-0.4951108952052891,0.014385444,0.028518905356759206,0.0003,0.2,0.9982187747955322,0.12001953125,-0.005804405547678471,-0.01047451143458602
-19.72573,598,112640,55,355.53,188,540,-0.4778805097565055,0.013523233,0.016842682525020792,0.0003,0.2,0.9993299841880798,0.128271484375,-0.024319874122738838,-0.0040281608806253645
-19.808069999999997,597,114688,56,358.17,192,550,-0.470148766040802,0.06556882,0.02148668929876294,0.0003,0.2,0.9990797638893127,0.154052734375,-0.0034925853833556175,-0.013386115114553832
-19.8899,594,116736,57,360.6,196,560,-0.47936693392693996,0.01860777,0.034039480407955125,0.0003,0.2,0.9973940849304199,0.118505859375,-0.018109293654561043,-0.005282391377841122
-19.96342,593,118784,58,362.72,200,570,-0.48071720292791725,0.017900875,0.034809445396240334,0.0003,0.2,0.9974061846733093,0.112939453125,-0.022967277094721794,-0.009882360650226473
-20.064569999999996,590,120832,59,365.07,204,580,-0.4727369285188615,0.019210776,0.024378427735064177,0.0003,0.2,0.9985093474388123,0.13876953125,-0.014035612344741821,-0.009920943260658533
-20.18092,589,122880,60,366.42,208,590,-0.5153553008101881,0.016859755,0.026396927192399743,0.0003,0.2,0.9987549185752869,0.130615234375,-0.035220544785261154,-0.008988344210229116
-20.33244,586,124928,61,368.24,212,600,-0.4851309882476926,0.021877032,0.022531300100672523,0.0003,0.2,0.9988777041435242,0.1634765625,0.0004991227760910988,-0.009419295867701294
-20.453899999999997,585,126976,62,369.4,217,610,-0.4996219024993479,0.016232865,0.026924465213960504,0.0003,0.2,0.9985796809196472,0.126220703125,-0.026788754388689995,-0.009928746505465824
-20.53844,583,129024,63,370.74,221,620,-0.49545882269740105,0.019248445,0.020083625997358467,0.0003,0.2,0.9990906715393066,0.144189453125,0.017686519771814346,-0.009087296504003462
-20.634100000000004,581,131072,64,372.0,225,630,-0.5165856924839318,0.015105274,0.018888848660571965,0.0003,0.2,0.9993624091148376,0.11298828125,-0.023109933361411095,-0.010557451460044831
-20.679119999999998,579,133120,65,372.62,229,640,-0.5048734965734184,0.010367705,0.02651702248112997,0.0003,0.2,0.9984646439552307,0.08798828125,0.004012644290924072,-0.00899525695713237
-20.44532,577,135168,66,373.52,234,650,-0.5110919657163322,0.01649368,0.020488812761323062,0.0003,0.2,0.9989665150642395,0.122216796875,-0.026969611644744873,-0.00988978039677022
-20.484949999999998,575,137216,67,372.85,238,660,-0.5527145339176058,0.03351643,0.025660768322995863,0.0003,0.2,0.9988051652908325,0.148779296875,-0.027401253581047058,-0.008841838698572246
-20.514980000000005,573,139264,68,372.58,242,670,-0.6135068132542074,0.01734086,0.06329397049557883,0.0003,0.2,0.9834181070327759,0.117822265625,0.0137762650847435,-0.012775444650833379
-20.80006,571,141312,69,371.16,247,680,-0.5983336175791919,0.011924803,0.03047540591651341,0.0003,0.2,0.9987188577651978,0.12109375,-0.00799572840332985,-0.008357881009578705
-20.75088,568,143360,70,370.48,252,690,-0.6135825288482011,0.015537668,0.3846639623166993,0.0003,0.2,0.9291573762893677,0.108203125,0.002744831144809723,-0.008466311545635107
-20.755329999999994,567,145408,71,370.23,256,700,-0.5792282672598958,0.014767376,0.03147124453971628,0.0003,0.2,0.9972971677780151,0.111474609375,-0.022542009130120277,-0.010228131592884892
-20.75244,565,147456,72,369.94,260,710,-0.5673699895851314,0.016995665,0.02450012716872152,0.0003,0.2,0.9990531206130981,0.114892578125,-0.00935071799904108,-0.010520430380711331
-20.73011,563,149504,73,369.61,265,720,-0.5045712097547949,0.012258939,0.03241293636383489,0.0003,0.2,0.9970077276229858,0.122509765625,0.007290416397154331,-0.007908924751973245
-20.70645,561,151552,74,369.45,270,730,-0.558955438900739,0.0152876,0.039677516686788296,0.0003,0.2,0.996211051940918,0.11474609375,-0.026116104796528816,-0.009964963650418213
-20.667460000000002,559,153600,75,369.56,274,740,-0.5102909595705569,0.016508054,0.02797275634657126,0.0003,0.2,0.9983832240104675,0.1056640625,0.006403666455298662,-0.006226622987014707
-20.61995,557,155648,76,369.35,279,750,-0.5481308918446303,0.013123548,0.022362967500521337,0.0003,0.2,0.9989155530929565,0.123583984375,-0.0027745384722948074,-0.009075265883438988
-20.573820000000005,555,157696,77,368.12,283,760,-0.5481035723350942,0.013734533,0.03302045948512387,0.0003,0.2,0.9979604482650757,0.122412109375,-0.014597633853554726,-0.008466569441225147
-20.52061,553,159744,78,368.11,288,770,-0.5457689024507999,0.014685888,0.02385972104384564,0.0003,0.2,0.9983742237091064,0.118017578125,0.010516837239265442,-0.007674110446532723
-20.987440000000003,551,161792,79,367.24,293,780,-0.5579828945919871,0.02269233,0.02002341886254726,0.0003,0.2,0.9976993799209595,0.13876953125,-0.0030722003430128098,-0.008290908722119638
-20.96185,549,163840,80,365.95,298,790,-0.5740900612436235,0.010159369,0.6868885850417428,0.0003,0.2,0.8976297378540039,0.06826171875,0.007267048582434654,-0.003994915269868215
-20.930020000000003,548,165888,81,365.52,302,800,-0.6091603070497513,0.010344943,0.1092954988940619,0.0003,0.2,0.9702010154724121,0.108642578125,0.005200638435781002,-0.00565730947710108
-21.184020000000004,546,167936,82,365.32,307,810,-0.6444679909385741,0.016995572,0.030114107839472125,0.0003,0.2,0.9946057796478271,0.1275390625,-0.0023828884586691856,-0.01005896952628973
-21.16168,544,169984,83,364.98,312,820,-0.5877833456732333,0.011622664,0.6209723441163078,0.0003,0.2,0.9429931640625,0.078564453125,0.02930292673408985,-0.005215232346381526
-21.46148,541,172032,84,361.68,317,830,-0.664715448860079,0.0393039,0.048469196230871606,0.0003,0.2,0.9869245290756226,0.20390625,-0.0074775125831365585,-0.008577539332327433
-21.67354,539,174080,85,359.14,322,840,-0.7491461854428053,0.0121758925,1.1653611150220968,0.0003,0.2,0.9053248167037964,0.11171875,0.041137032210826874,-0.00924660651216982
-21.696479999999998,537,176128,86,356.88,327,850,-0.765827672649175,0.019164177,1.04801954847062,0.0003,0.2,0.9035236239433289,0.11884765625,0.018138214945793152,-0.0067873042164137585
-21.983140000000002,535,178176,87,355.14,332,860,-0.7814872013404965,0.014091169,0.13994150086073204,0.0003,0.2,0.9801427721977234,0.12919921875,0.05472065508365631,-0.012754559251334285
-22.03619,533,180224,88,352.99,338,870,-0.7711692811921239,0.012856103,0.4741514091612771,0.0003,0.2,0.9208475351333618,0.08837890625,0.011405155062675476,-0.010652956152625848
-22.33753,531,182272,89,350.63,343,880,-0.7590401632711291,0.0153881535,0.08751927515841089,0.0003,0.2,0.9880400896072388,0.149462890625,0.0048233866691589355,-0.011138447676057695
-22.626969999999996,529,184320,90,348.77,348,890,-0.7166382364928723,0.014850471,1.2806541915168055,0.0003,0.2,0.9305341839790344,0.098046875,0.08537730574607849,-0.0071001546340994535
-22.646919999999994,526,186368,91,347.12,353,900,-0.7463454009965063,0.013701288,0.41995412396499887,0.0003,0.2,0.9536214470863342,0.101220703125,0.019276181235909462,-0.007533569757288206
-22.975610000000007,524,188416,92,343.41,359,910,-0.7402657324448227,0.027980002,0.08681749573734124,0.0003,0.2,0.987628161907196,0.158837890625,0.00934050977230072,-0.010416408826131374
-23.01843,522,190464,93,340.73,364,920,-0.7622640820220112,0.014815185,0.5999701273743995,0.0003,0.2,0.9509483575820923,0.12265625,0.04888322949409485,-0.00985398205339152
-23.04142999999999,519,192512,94,337.63,370,930,-0.799490712583065,0.013636577,0.12279598442837596,0.0003,0.2,0.9810284376144409,0.1533203125,0.029684238135814667,-0.015368363275047158
-22.80357,518,194560,95,334.87,375,940,-0.7142969394102693,0.018157264,0.07018661901820451,0.0003,0.2,0.9957183599472046,0.168310546875,-0.023044081404805183,-0.01470224733420764
-22.490839999999995,516,196608,96,333.54,380,950,-0.6773166368715465,0.017421141,0.06002359277626965,0.0003,0.2,0.9959741234779358,0.15498046875,-0.018626824021339417,-0.014849304998642765
-22.461770000000005,514,198656,97,332.07,386,960,-0.6186551517806947,0.020511504,0.039149559271754696,0.0003,0.2,0.998028039932251,0.171728515625,-0.018807537853717804,-0.011839775332555291
-22.116679999999995,512,200704,98,330.78,391,970,-0.6151346483267843,0.016610429,0.039511202077846974,0.0003,0.2,0.9981989860534668,0.12822265625,-0.011767970398068428,-0.009379477947368287
-22.08712,510,202752,99,329.42,397,980,-0.5722335468046367,0.015461003,0.04417710570269264,0.0003,0.2,0.9962373971939087,0.131494140625,-0.012516777962446213,-0.008824418466974748
-21.75853,509,204800,100,331.23,401,990,-0.5826361373066902,0.014567612,0.04351554702152498,0.0003,0.2,0.9976447224617004,0.1126953125,-0.008415836840867996,-0.010703280896996148
-21.51104,507,206848,101,333.84,407,1000,-0.574745575711131,0.01981719,0.026630955129803624,0.0003,0.2,0.9981850385665894,0.1595703125,-0.00611870177090168,-0.010016715846722946
-21.672379999999993,505,208896,102,336.18,412,1010,-0.577973678894341,0.011555174,0.025266624051437248,0.0003,0.2,0.9990233182907104,0.13173828125,0.001746930181980133,-0.0060082064759626515
-21.13416,504,210944,103,337.76,417,1020,-0.5816225397400558,0.011425529,0.8591124041471631,0.0003,0.2,0.9294624328613281,0.078271484375,0.06659445911645889,-0.0031869917278527283
-21.319819999999996,503,212992,104,339.72,423,1030,-0.5990300683304668,0.01653526,0.03252537092776038,0.0003,0.2,0.9962460994720459,0.13251953125,-0.02098757028579712,-0.009094268685294083
-21.17679,501,215040,105,341.59,429,1040,-0.5900761349126696,0.01308604,0.46128316795802676,0.0003,0.2,0.9339883327484131,0.098193359375,0.05832944065332413,-0.005706483273388585
-20.555030000000002,500,217088,106,343.53,434,1050,-0.5590839650481939,0.014493106,0.05081277035060339,0.0003,0.2,0.9929414987564087,0.11484375,0.001562541350722313,-0.008230139264924219
-20.545389999999998,498,219136,107,345.49,439,1060,-0.5698868536390365,0.020653093,0.03220724654966034,0.0003,0.2,0.9976199865341187,0.1228515625,-0.00936240516602993,-0.010921362558292458
-20.513379999999998,496,221184,108,346.18,445,1070,-0.592208679113537,0.026830716,0.024850052659166975,0.0003,0.2,0.9982577562332153,0.178564453125,-0.01730288565158844,-0.006973502249456942
-20.15355,494,223232,109,348.95,451,1080,-0.6353350480087101,0.025446618,0.03518462572828866,0.0003,0.2,0.9977829456329346,0.14638671875,-0.0011527258902788162,-0.011530239565036026
-20.116690000000002,493,225280,110,350.49,456,1090,-0.6341015424579381,0.029469106,0.04103498484764714,0.0003,0.2,0.9977840781211853,0.152392578125,-0.008205220103263855,-0.006077958120295079
-20.058859999999996,492,227328,111,352.26,461,1100,-0.6502244099974632,0.017462946,0.02294178037554957,0.0003,0.2,0.9981318712234497,0.146435546875,-0.01685226336121559,-0.010314465989358724
-20.021989999999995,490,229376,112,354.39,467,1110,-0.5777402642183006,0.011549825,0.021168472635326906,0.0003,0.2,0.9986320734024048,0.12890625,-0.0288485549390316,-0.008264230545319152
-19.95471,488,231424,113,356.41,473,1120,-0.5941062155179679,0.019314064,0.025244203022157307,0.0003,0.2,0.9983126521110535,0.1404296875,-0.01252095028758049,-0.007415508013946237
-19.934520000000006,487,233472,114,357.52,478,1130,-0.5534356093034148,0.032360815,0.018867611515452153,0.0003,0.2,0.9983477592468262,0.140234375,0.005566581152379513,-0.01007274438306922
-19.92766,486,235520,115,357.46,484,1140,-0.578715318068862,0.022049002,0.016642648335255215,0.0003,0.2,0.9990600943565369,0.153857421875,-0.018651600927114487,-0.01019715302536497
-19.98452,484,237568,116,356.92,490,1150,-0.5861652596853674,0.019582711,0.025632748474890832,0.0003,0.2,0.9974290132522583,0.11982421875,-0.028988756239414215,-0.005490835717500886
-19.988899999999997,482,239616,117,356.0,496,1160,-0.5928819841705263,0.01752875,0.036056878863018935,0.0003,0.2,0.9964801073074341,0.12587890625,-0.03712376579642296,-0.007151970225095283
-19.99721,481,241664,118,355.51,502,1170,-0.5548138526268304,0.025250196,0.02279120582388714,0.0003,0.2,0.9986435770988464,0.153564453125,-0.008439337834715843,-0.00778003931263811
-19.719130000000003,479,243712,119,355.73,508,1180,-0.5454206014052033,0.02079562,0.02595472196408082,0.0003,0.2,0.9974285960197449,0.114453125,0.0015109237283468246,-0.005532741586648626
-19.76762,478,245760,120,355.42,513,1190,-0.5401288284920156,0.013186837,0.023607844271464274,0.0003,0.2,0.9985424280166626,0.1236328125,0.024833370000123978,-0.008194902417744742
-19.75515,476,247808,121,355.35,519,1200,-0.5641819368116557,0.021979358,0.037146444414975124,0.0003,0.2,0.9985133409500122,0.120947265625,0.029238149523735046,-0.00531404249377374
-19.80375,475,249856,122,355.45,525,1210,-0.5632908110506832,0.022013342,0.01911609191884054,0.0003,0.2,0.9990174770355225,0.1423828125,-0.004822986200451851,-0.00725309227273101
-19.89243,473,251904,123,355.33,531,1220,-0.5539165971800685,0.022987295,0.33207987220957874,0.0003,0.2,0.9417629837989807,0.111279296875,0.0666467621922493,-0.0061440339050022885
-19.94601,472,253952,124,355.71,537,1230,-0.5530812190845609,0.01680151,0.039779471822839696,0.0003,0.2,0.9940265417098999,0.136767578125,0.03417537361383438,-0.0063482038953225125
-20.21884,470,256000,125,356.54,543,1240,-0.5048176726326347,0.034426056,0.023833615113107953,0.0003,0.2,0.9990808367729187,0.17412109375,-0.003784234169870615,-0.005996261354448506
-20.3424,469,258048,126,358.5,550,1250,-0.5248854918405413,0.01309678,0.2601006085285917,0.0003,0.2,0.9408905506134033,0.10556640625,0.009402468800544739,-0.005812890490051359
-20.917920000000002,468,260096,127,359.32,555,1260,-0.564005846902728,0.026210023,0.033826368939480746,0.0003,0.2,0.9901580810546875,0.15009765625,-0.0027731843292713165,-0.012188804340257774
-20.99665,466,262144,128,360.45,562,1270,-0.6062439222820103,0.013420703,0.509192690148484,0.0003,0.2,0.9131178259849548,0.1087890625,0.06514756381511688,-0.010405111093132292
-21.35652,465,264192,129,361.22,567,1280,-0.597503927629441,0.013038191,0.11577395091881044,0.0003,0.2,0.9662801027297974,0.1234375,0.010731548070907593,-0.009652293990075122
-21.691939999999995,463,266240,130,361.64,574,1290,-0.6079523444175721,0.014266316,0.20717061044415458,0.0003,0.2,0.9603530168533325,0.128955078125,-0.029583640396595,-0.004178528992997599
-22.057749999999995,462,268288,131,361.85,580,1300,-0.6122410342097282,0.014302304,0.33789892262720966,0.0003,0.2,0.9664832949638367,0.102783203125,0.022643178701400757,-0.003715028308215551
-22.41784,460,270336,132,362.54,586,1310,-0.6343161564320325,0.017487599,0.2147406236093957,0.0003,0.2,0.9678142666816711,0.127685546875,0.014391755685210228,-0.005665227980716736
-22.531399999999998,459,272384,133,362.9,593,1320,-0.6115047631785273,0.013658101,0.7732486311928369,0.0003,0.2,0.9361952543258667,0.087451171875,0.02413095347583294,-0.007880614708665235
-22.49712,458,274432,134,364.02,599,1330,-0.6494220463559032,0.0187422,0.16496373022673652,0.0003,0.2,0.9791048169136047,0.148388671875,0.04346077889204025,-0.009227533613011474
-22.47436,456,276480,135,366.06,605,1340,-0.6423675756901502,0.021725051,0.05483963550068438,0.0003,0.2,0.9944239854812622,0.183740234375,-0.02391522005200386,-0.013574621731095249
-22.52001999999999,454,278528,136,366.42,612,1350,-0.6306866284459829,0.020101652,0.04483222352719167,0.0003,0.2,0.9942978620529175,0.126953125,-0.004620319232344627,-0.012341483170166612
-22.51437,453,280576,137,366.37,618,1360,-0.6017143729142844,0.017656071,0.035317790071712804,0.0003,0.2,0.9973042011260986,0.15185546875,-0.0031919660978019238,-0.01101236447757401
-22.497489999999992,452,282624,138,366.59,624,1370,-0.5774070799350739,0.022630043,0.03166876534814946,0.0003,0.2,0.9977802038192749,0.15810546875,-0.018112780526280403,-0.014558998071152018
-22.54333,450,284672,139,366.83,631,1380,-0.5902666649781168,0.023099557,0.02682296002167277,0.0003,0.2,0.998187780380249,0.152392578125,0.012469066306948662,-0.013579657868831418
-22.27535,449,286720,140,367.05,637,1390,-0.5544183358550072,0.012594629,0.025514024526637515,0.0003,0.2,0.9980771541595459,0.1197265625,0.009383738040924072,-0.00961799647193402
-23.061709999999998,447,288768,141,366.91,644,1400,-0.5650454263202846,0.019163242,0.027987015128019266,0.0003,0.2,0.9974921345710754,0.135546875,0.004439912736415863,-0.012619492261728737
-23.022530000000007,446,290816,142,366.53,650,1410,-0.6078272787854075,0.009459745,1.3977395246271045,0.0003,0.2,0.8806952834129333,0.06630859375,0.0016374103724956512,-0.008090080529655097
-22.773229999999995,445,292864,143,365.73,657,1420,-0.5776351450011135,0.015909981,0.09811973611649591,0.0003,0.2,0.9773382544517517,0.116162109375,-0.009262705221772194,-0.010145090431615244
-22.465059999999994,443,294912,144,364.86,664,1430,-0.5894652254879474,0.01602295,0.028718458634102717,0.0003,0.2,0.9970384240150452,0.135498046875,-0.04796301946043968,-0.012805776522145606
-22.223720000000004,442,296960,145,364.12,670,1440,-0.5677996063604951,0.015897922,0.041910113094490956,0.0003,0.2,0.9973803162574768,0.137744140625,0.01053839735686779,-0.014882354674045927
-22.19837,441,299008,146,364.07,677,1450,-0.5360789114609361,0.021427453,0.03004441230004886,0.0003,0.2,0.998624861240387,0.14765625,-0.043222490698099136,-0.011027245383593254
-21.907430000000005,440,301056,147,364.03,683,1460,-0.544142809137702,0.01792511,0.02539943698211573,0.0003,0.2,0.9989215731620789,0.145849609375,-0.05007956922054291,-0.012637114693643526
-21.92600999999999,438,303104,148,364.11,690,1470,-0.5170582300052047,0.018801969,0.024428668650216423,0.0003,0.2,0.9986864328384399,0.140625,-0.006549997255206108,-0.009695504555202206
-21.645600000000005,437,305152,149,363.7,697,1480,-0.5496360507793725,0.0086223595,1.0762902070069686,0.0003,0.2,0.9350732564926147,0.067236328125,0.3851492404937744,-0.008760269936465193
